from,to,type,count
10_igun,Muslim_AntiPKI,retweet,1
1MenujuDamai,QaillaAsyiqah,retweet,1
2ikhtiar,QaillaAsyiqah,retweet,1
30DetikTakHenti,QaillaAsyiqah,retweet,1
AJazuli5,JameelaNajma,retweet,1
Abe_TSFE,kanopimedia,retweet,1
Adhek_Byt,Muslim_AntiPKI,retweet,1
Adhek_Byt,QaillaAsyiqah,retweet,1
Alief1Ba,kanopimedia,retweet,1
AlifKamal__,SeknasKPA,retweet,1
AmiArdiwinata,kanopimedia,retweet,1
AngrySipelebegu,SeknasKPA,retweet,1
Aquafarming_ID,kanopimedia,retweet,1
ArmanHlp,QaillaAsyiqah,retweet,2
AsepRus04734801,QaillaAsyiqah,retweet,1
BIfoenk,QaillaAsyiqah,retweet,2
Bedjo57582,QaillaAsyiqah,retweet,2
BinarisSitumor2,SeknasKPA,retweet,1
BoneSangkala,Muslim_AntiPKI,retweet,1
CarikeadilanDi,QaillaAsyiqah,retweet,2
CasperBeWin1,AmnestyID,mentions,1
CasperBeWin1,amnesty,mentions,1
CiUniang4,Muslim_AntiPKI,retweet,1
Comrhang_Romeh,QaillaAsyiqah,retweet,1
DSXL3,QaillaAsyiqah,retweet,1
DidiSuh61460608,QaillaAsyiqah,retweet,1
DrwskincareRani,QaillaAsyiqah,retweet,1
EgiRenaldi93,kanopimedia,retweet,1
FakFak1995,SeknasKPA,retweet,1
FathoniJihada,QaillaAsyiqah,retweet,1
Fatimah26064297,QaillaAsyiqah,retweet,2
FikarAmin,kanopimedia,retweet,1
FraksiRakyatID,kanopimedia,retweet,1
FreedySamuel,kanopimedia,retweet,1
GajahNata,Muslim_AntiPKI,retweet,1
GreenpeaceID,kanopimedia,retweet,1
HendriB52641994,AmnestyID,retweet,1
HendriB52641994,CasperBeWin1,retweet,1
Herman84617774,Teraaan1,retweet,1
Hidayat08707156,QaillaAsyiqah,retweet,1
Iwan80an,QaillaAsyiqah,retweet,1
IyanSatria10,QaillaAsyiqah,retweet,2
Jogja_Menyapa,QaillaAsyiqah,retweet,1
JokoPur36178526,Jurnal_KSN,mentions,3
JualanOnline18,Muslim_AntiPKI,retweet,1
Juniorternama,SeknasKPA,retweet,1
Juniorternama,kanopimedia,retweet,1
KranjiLatif,Muslim_AntiPKI,retweet,1
Lee_juan,rifofficial_,retweet,1
Lini_ZQ,FsbnK,mentions,1
Lini_ZQ,KasbiIndo,mentions,1
Lini_ZQ,watchdoc_ID,mentions,1
LomoBudiono,Muslim_AntiPKI,retweet,1
MImproxyble,JameelaNajma,retweet,1
ManusiaIkanDeni,Muslim_AntiPKI,retweet,1
MawarSolitaire,AmnestyID,retweet,1
MawarSolitaire,CasperBeWin1,retweet,1
MbahMangir,QaillaAsyiqah,retweet,1
Meiracle9,kanopimedia,retweet,1
Mhdgrs1,reden_akagits,retweet,1
Onyong_Marko,GreenpeaceID,mentions,1
PRDIndonesia,SeknasKPA,retweet,1
PengecutSang,Muslim_AntiPKI,retweet,1
RMl_id,jokowi,mentions,1
RMl_id,perkumpulanhuma,mentions,1
RMuhammadAli1,SaveMoslem1,retweet,1
RMuhammadAli1,mathsoul1,retweet,1
R_Soentana,QaillaAsyiqah,retweet,1
Raiyenrabu,kanopimedia,retweet,1
RuslanGasang,SeknasKPA,retweet,1
SajaTemenmu,kanopimedia,retweet,1
SancangRakean,Muslim_AntiPKI,retweet,1
Santi_awat,QaillaAsyiqah,retweet,2
SaveMoslem1,SaveMoslem1,retweet,1
SaveMoslem1,mathsoul1,retweet,1
SemprulBae234,AmnestyID,mentions,1
SemprulBae234,CasperBeWin1,mentions,1
SobakhulK,kanopimedia,retweet,1
StalistS,QaillaAsyiqah,retweet,2
Stone98Jade,BEM_SI,mentions,1
Stone98Jade,CNNIndonesia,mentions,1
Stone98Jade,DubesAustralia,mentions,1
Stone98Jade,DubesUniEropa,mentions,1
Stone98Jade,FSPMI_KSPI,mentions,1
Stone98Jade,Metro_TV,mentions,1
Stone98Jade,NajwaShihab,mentions,1
Stone98Jade,SINDIKASI_,mentions,1
Stone98Jade,TRANS7,mentions,1
Stone98Jade,VIVAcoid,mentions,1
Stone98Jade,detikcom,mentions,1
